trama_recibida,mensaje_ascii,error_detectado
01100011011000010111001101100001011100110001010010000111,casas,0
01101000011011110110011101100001011100100001010110110110,hogar,0
01110000011001010111001001110010011011110001010110000011,perro,0
01110101011101100110000101110011011100110001011111010110,uvass,0
01101110011001010110011101110010011011110001100011010110,negro,0
01100011011010010110111001100011011011110001011110110000,cinco,0
0110111001100101011011000111001101101111011011100001110110100111,nelson,0
01100011011010000110000101101101011011110001010101111100,chamo,0
01110000011000010110001101101000011011110001001101011001,pacho,0
01101110011011110110010101101101011010010001100011111110,noemi,0
01100010011100100110000101110111011011000001010001111110,brawl,0
01100011011011000110000101110011011001010001010010010001,clase,0
01100011011000010011001101100001011100110001010010000111,,1
0100111001100101011011000111001101101111011011100101110110100111,,1
01101110011010010111010101100010011011000001000010110101,,1
01101000011001110110110001100001011100110001111110101000,,1
11101010011011110110100001101111010010100001100011101000,,1
01100111011001010110110001101100001001110001011010110001,,1
01100001011001110111010101100001011100110001010110011011,aguas,0
01101111011011000110111101110010011000110001100000000011,,1
01100011011000010110110001101100011001110001001110000000,,1
01110000011001010111001001110010010011110011011110000001,,1
01100011011010010110011101110001011100100001000010100000,,1
01101110011001010010110101100100011110010000011111101001,,1
01100010011010000110010101101110111000110001001101110110,,1
01110111111000000110100101100011111010000101010011000101,,1
01110100011100100110000101101001011001100001010010010000,,1
0000001110001101110110010010111101110011110010100110010101110101,,1
01010100000110100110110101000001000011101010001110011001,,1
00100100111000011010101011010100000111000110000000010101,,1
10000100101110101111001100011010110100101111100000110000,,1
01110111000001010100101101001010011111011001010100101111,,1
01110110001001111001100100110101001100000101011101000100,,1
01101101111000101011010100101011001010000110111110001100,,1
11111011101101111111111101111110011010001111001001000000,,1
01010100100110010010000010011110110101111000001000111010,,1
10000101001111100111101110010110011000011111000001001110,,1
00000110010010001000001110110111000010110110111000011111,,1
11010110010111011111000011101101000100110101110111100011,,1
10101100111000101111011010000010010011100001110101111010,,1
11011110001000001000001011010111000000000011001000100110,,1
10110110110111100010011100011111010111111111001011000000,,1
011000010110110001110011011010110110011101101101011001100110110101110011011001000010110011100101,alskgmfmsd,0
011000010110110001110011011011100111000101110000011100100110111101110100011011110010110010001111,alsnqproto,0
011100000111001001101111011101000110111101100010011011110110000101110010011001000010101011011111,protoboard,0
011001110111001001100101011001010110111001100110011010010110010101101100011001000010100111001110,greenfield,0
011000110110000101110011011000010110000101111010011101010110110001100101011100110010100100110101,casaazules,0
01110000011001010111001001110010011011110111001101100011011000010110011001100101011100110010111011010100,perroscafes,0
011100010111011101100101011100100111010001111001011101010110100101101111011100000010110100111100,qwertyuiop,0
011100000111001001101111011101000110101001100101011011000110011101101111011100000010101110110100,protjelgop,0
